,County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash
1173,Tehama,August,2020,8.8%,5399,10077,1077340
1174,Trinity,August,2020,6.8%,1249,2007,255702
1175,Tulare,August,2020,13.1%,52384,111277,13681435
1176,Tuolumne,August,2020,10.2%,3176,4843,561888
1177,Ventura,August,2020,9.1%,38619,70947,8709583
1178,Yolo,August,2020,7.5%,13577,21050,2687297
1179,Yuba,August,2020,10.8%,7356,14405,1640481
1180,Statewide,September,2020,10.8%,2523606,4666504,544728685
1181,Alameda,September,2020,9.3%,85083,143675,16651321
1182,Alpine,September,2020,10.7%,66,109,11543
1183,Amador,September,2020,8.7%,1513,2586,298105
1184,Butte,September,2020,8.5%,17666,28943,3387493
1185,Calaveras,September,2020,7.4%,2879,4934,591152
1186,Colusa,September,2020,10.6%,934,1904,199031
1187,Contra Costa,September,2020,9.3%,43968,80426,9420087
1188,Del Norte,September,2020,8.8%,3169,5592,609003
1189,El Dorado,September,2020,7.5%,7424,11761,1408804
1190,Fresno,September,2020,10.4%,101231,273438,24499970
1191,Glenn,September,2020,7.3%,1690,3358,361473
1192,Humboldt,September,2020,7.6%,14520,22698,2756079
1193,Imperial,September,2020,21.5%,18523,39673,4458462
1194,Inyo,September,2020,7.3%,1116,1991,237852
1195,Kern,September,2020,12.4%,76998,164079,19323460
1196,Kings,September,2020,10.3%,11711,24467,2726906
1197,Lake,September,2020,8.6%,7673,12738,1438556
1198,Lassen,September,2020,6.3%,1823,3224,379821
1199,Los Angeles,September,2020,15.1%,810634,1383013,171030544
1200,Madera,September,2020,9.4%,12623,28503,3342602
1201,Marin,September,2020,6.5%,8639,13247,1731364
1202,Mariposa,September,2020,8.4%,1468,2409,279704
1203,Mendocino,September,2020,8.3%,7233,12419,1490995
1204,Merced,September,2020,10.6%,25087,52947,6179162
1205,Modoc,September,2020,6.5%,760,1377,147639
1206,Mono,September,2020,11.2%,539,864,106044
1207,Monterey,September,2020,8.8%,20169,41019,4838540
